% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1770121893.2318 0.000 0.000 0.0000 -2.5575
1770121893.2373 0.000 0.000 0.0000 -2.5575
1770121893.2416 0.000 0.000 0.0000 -2.5575
1770121893.2466 0.000 0.000 0.0000 -2.5575
1770121893.2520 0.000 0.000 0.0000 -2.5575
1770121893.2564 0.000 0.000 0.0000 -2.5575
1770121893.2618 0.000 0.000 0.0000 -2.5575
1770121893.2673 0.000 0.000 0.0000 -2.5575
1770121893.2717 0.000 0.000 0.0000 -2.5576
1770121893.2771 0.000 0.000 0.0000 -2.5576
1770121893.2814 0.000 0.000 0.0000 -2.5576
1770121893.2870 0.000 0.000 0.0000 -2.5576
1770121893.2913 0.000 0.000 0.0000 -2.5577
1770121893.2969 0.000 0.000 0.0000 -2.5577
1770121893.3023 0.000 0.000 0.0000 -2.5577
1770121893.3067 0.000 0.000 0.0000 -2.5577
1770121893.3123 0.000 0.000 0.0000 -2.5577
1770121893.3167 0.000 0.000 0.0000 -2.5577
1770121893.3222 0.000 0.000 0.0000 -2.5577
1770121893.3266 0.000 0.000 0.0000 -2.5577
1770121893.3321 0.000 0.000 0.0000 -2.5577
1770121893.3364 0.000 0.000 0.0000 -2.5576
1770121893.3418 0.000 0.000 0.0000 -2.5576
1770121893.3473 0.000 0.000 0.0000 -2.5575
1770121893.3517 0.000 0.000 0.0000 -2.5575
1770121893.3573 0.000 0.000 0.0000 -2.5574
1770121893.3616 0.000 0.000 0.0000 -2.5574
1770121893.3670 0.000 0.000 0.0000 -2.5573
1770121893.3723 0.000 -0.000 -0.0012 -2.5573
1770121893.3767 0.000 -0.000 -0.0012 -2.5573
1770121893.3822 0.001 -0.000 -0.0035 -2.5575
1770121893.3866 0.001 -0.000 -0.0046 -2.5571
1770121893.3921 0.002 -0.000 -0.0046 -2.5571
1770121893.3964 0.003 -0.000 -0.0058 -2.5573
1770121893.4017 0.004 -0.000 -0.0046 -2.5568
1770121893.4072 0.005 -0.000 -0.0046 -2.5562
1770121893.4115 0.006 -0.000 -0.0046 -2.5562
1770121893.4171 0.007 -0.000 -0.0046 -2.5564
1770121893.4214 0.008 -0.000 -0.0046 -2.5563
1770121893.4268 0.009 -0.000 -0.0046 -2.5561
1770121893.4322 0.010 -0.000 -0.0046 -2.5562
1770121893.4376 0.011 -0.000 -0.0058 -2.5561
1770121893.4420 0.012 -0.000 -0.0058 -2.5560
1770121893.4466 0.013 -0.000 -0.0069 -2.5562
1770121893.4521 0.014 -0.000 -0.0058 -2.5562
1770121893.4577 0.015 -0.000 -0.0069 -2.5560
1770121893.4620 0.016 -0.000 -0.0069 -2.5560
1770121893.4675 0.017 -0.000 -0.0069 -2.5560
1770121893.4719 0.018 -0.000 -0.0069 -2.5560
1770121893.4774 0.019 -0.000 -0.0069 -2.5560
1770121893.4817 0.020 -0.000 -0.0069 -2.5560
1770121893.4872 0.021 -0.000 -0.0069 -2.5561
1770121893.4926 0.022 -0.000 -0.0058 -2.5560
1770121893.4980 0.024 -0.000 -0.0058 -2.5561
1770121893.5025 0.025 -0.000 -0.0058 -2.5563
1770121893.5079 0.026 -0.000 -0.0046 -2.5561
1770121893.5123 0.027 -0.000 -0.0058 -2.5559
1770121893.5176 0.028 -0.000 -0.0058 -2.5560
1770121893.5232 0.029 -0.000 -0.0046 -2.5560
1770121893.5276 0.030 -0.000 -0.0058 -2.5561
1770121893.5329 0.032 -0.000 -0.0058 -2.5560
1770121893.5374 0.033 -0.000 -0.0046 -2.5559
1770121893.5429 0.034 -0.000 -0.0058 -2.5559
1770121893.5474 0.035 -0.000 -0.0058 -2.5558
1770121893.5528 0.036 -0.000 -0.0058 -2.5559
1770121893.5581 0.038 -0.000 -0.0069 -2.5558
1770121893.5626 0.039 -0.000 -0.0058 -2.5558
1770121893.5680 0.040 -0.000 -0.0058 -2.5557
1770121893.5724 0.041 -0.000 -0.0058 -2.5555
1770121893.5778 0.043 -0.000 -0.0058 -2.5555
1770121893.5822 0.044 -0.000 -0.0046 -2.5555
1770121893.5877 0.045 -0.000 -0.0058 -2.5554
1770121893.5931 0.046 -0.000 -0.0058 -2.5553
1770121893.5975 0.048 -0.000 -0.0046 -2.5555
1770121893.6029 0.049 -0.000 -0.0058 -2.5555
1770121893.6074 0.050 -0.000 -0.0046 -2.5553
1770121893.6127 0.051 -0.000 -0.0046 -2.5553
1770121893.6181 0.052 -0.000 -0.0046 -2.5554
1770121893.6226 0.053 -0.000 -0.0046 -2.5554
1770121893.6280 0.055 -0.000 -0.0046 -2.5553
1770121893.6324 0.056 -0.000 -0.0046 -2.5551
1770121893.6378 0.057 -0.000 -0.0035 -2.5552
1770121893.6422 0.058 -0.000 -0.0023 -2.5551
1770121893.6478 0.060 -0.000 -0.0023 -2.5550
1770121893.6532 0.061 -0.000 -0.0012 -2.5551
1770121893.6577 0.062 -0.000 -0.0000 -2.5550
1770121893.6631 0.063 -0.000 0.0012 -2.5550
1770121893.6675 0.064 -0.000 0.0012 -2.5547
1770121893.6729 0.065 -0.000 0.0023 -2.5546
1770121893.6773 0.066 -0.000 0.0023 -2.5545
1770121893.6827 0.068 -0.000 0.0023 -2.5547
1770121893.6872 0.069 -0.000 0.0035 -2.5546
1770121893.6932 0.070 -0.000 0.0046 -2.5545
1770121893.6976 0.071 -0.000 0.0035 -2.5544
1770121893.7030 0.072 -0.000 0.0046 -2.5545
1770121893.7074 0.074 -0.000 0.0058 -2.5545
1770121893.7128 0.075 -0.000 0.0046 -2.5544
1770121893.7173 0.076 -0.000 0.0046 -2.5543
1770121893.7226 0.077 -0.000 0.0058 -2.5541
1770121893.7282 0.079 -0.000 0.0058 -2.5543
1770121893.7324 0.080 -0.000 0.0058 -2.5542
1770121893.7378 0.081 -0.000 0.0058 -2.5542
1770121893.7423 0.082 -0.000 0.0058 -2.5540
1770121893.7477 0.084 -0.000 0.0046 -2.5540
1770121893.7532 0.085 -0.000 0.0046 -2.5539
1770121893.7576 0.086 -0.000 0.0046 -2.5540
1770121893.7630 0.088 -0.000 0.0035 -2.5539
1770121893.7674 0.089 -0.000 0.0023 -2.5540
1770121893.7728 0.090 -0.000 0.0023 -2.5540
1770121893.7772 0.092 -0.000 0.0012 -2.5540
1770121893.7826 0.093 -0.000 -0.0000 -2.5539
1770121893.7881 0.094 -0.000 -0.0000 -2.5539
1770121893.7925 0.095 -0.000 -0.0000 -2.5538
1770121893.7979 0.097 -0.000 -0.0000 -2.5539
1770121893.8023 0.098 -0.000 -0.0012 -2.5540
1770121893.8077 0.100 -0.000 -0.0012 -2.5539
1770121893.8131 0.101 -0.000 -0.0012 -2.5539
1770121893.8176 0.102 -0.000 -0.0023 -2.5539
1770121893.8230 0.103 -0.000 -0.0023 -2.5538
1770121893.8274 0.105 -0.000 -0.0023 -2.5538
1770121893.8327 0.106 -0.000 -0.0023 -2.5539
1770121893.8383 0.107 -0.000 -0.0023 -2.5538
1770121893.8426 0.108 -0.000 -0.0035 -2.5537
1770121893.8477 0.110 -0.000 -0.0035 -2.5536
1770121893.8531 0.111 -0.000 -0.0035 -2.5537
1770121893.8576 0.113 -0.000 -0.0046 -2.5536
1770121893.8631 0.114 -0.000 -0.0046 -2.5536
1770121893.8674 0.115 -0.000 -0.0046 -2.5536
1770121893.8729 0.116 -0.000 -0.0046 -2.5535
1770121893.8783 0.118 -0.000 -0.0058 -2.5535
1770121893.8827 0.119 -0.000 -0.0058 -2.5535
1770121893.8882 0.120 -0.000 -0.0046 -2.5535
1770121893.8925 0.121 -0.000 -0.0058 -2.5535
1770121893.8980 0.123 -0.000 -0.0058 -2.5535
1770121893.9024 0.124 -0.000 -0.0058 -2.5535
1770121893.9078 0.125 -0.000 -0.0046 -2.5534
1770121893.9132 0.126 -0.000 -0.0058 -2.5534
1770121893.9175 0.128 -0.000 -0.0058 -2.5534
1770121893.9230 0.129 -0.000 -0.0058 -2.5534
1770121893.9274 0.130 -0.000 -0.0069 -2.5535
1770121893.9328 0.131 -0.000 -0.0058 -2.5535
1770121893.9382 0.133 -0.000 -0.0058 -2.5535
1770121893.9426 0.134 -0.000 -0.0058 -2.5535
1770121893.9481 0.135 -0.000 -0.0069 -2.5535
1770121893.9524 0.136 -0.000 -0.0069 -2.5535
1770121893.9579 0.138 -0.000 -0.0069 -2.5535
1770121893.9633 0.139 -0.000 -0.0069 -2.5535
1770121893.9677 0.140 -0.000 -0.0069 -2.5536
1770121893.9731 0.142 -0.000 -0.0069 -2.5536
1770121893.9775 0.143 -0.000 -0.0069 -2.5536
1770121893.9830 0.144 -0.000 -0.0069 -2.5536
1770121893.9883 0.145 -0.000 -0.0069 -2.5537
1770121893.9928 0.147 -0.000 -0.0069 -2.5537
1770121893.9982 0.148 -0.000 -0.0069 -2.5537
1770121894.0025 0.149 -0.000 -0.0069 -2.5537
1770121894.0080 0.151 -0.000 -0.0069 -2.5536
1770121894.0133 0.151 -0.000 -0.0081 -2.5536
1770121894.0178 0.153 -0.000 -0.0069 -2.5535
1770121894.0232 0.154 -0.000 -0.0069 -2.5535
1770121894.0276 0.155 -0.001 -0.0081 -2.5535
1770121894.0329 0.157 -0.001 -0.0081 -2.5534
1770121894.0383 0.158 -0.001 -0.0069 -2.5535
1770121894.0427 0.159 -0.001 -0.0069 -2.5534
1770121894.0476 0.161 -0.001 -0.0069 -2.5534
1770121894.0531 0.162 -0.001 -0.0081 -2.5534
1770121894.0575 0.163 -0.001 -0.0069 -2.5534
1770121894.0629 0.164 -0.001 -0.0069 -2.5533
1770121894.0683 0.166 -0.001 -0.0081 -2.5533
1770121894.0727 0.167 -0.001 -0.0069 -2.5534
1770121894.0782 0.168 -0.001 -0.0069 -2.5533
1770121894.0825 0.169 -0.001 -0.0069 -2.5533
1770121894.0880 0.171 -0.001 -0.0081 -2.5533
1770121894.0934 0.172 -0.001 -0.0081 -2.5533
1770121894.0977 0.173 -0.001 -0.0069 -2.5533
1770121894.1031 0.175 -0.001 -0.0081 -2.5533
1770121894.1085 0.176 -0.001 -0.0081 -2.5533
1770121894.1129 0.177 -0.001 -0.0069 -2.5533
1770121894.1183 0.178 -0.001 -0.0069 -2.5532
1770121894.1227 0.180 -0.001 -0.0081 -2.5533
1770121894.1281 0.181 -0.001 -0.0081 -2.5533
1770121894.1334 0.182 -0.001 -0.0069 -2.5533
1770121894.1380 0.183 -0.001 -0.0081 -2.5533
1770121894.1434 0.185 -0.001 -0.0069 -2.5533
1770121894.1479 0.186 -0.001 -0.0069 -2.5533
1770121894.1532 0.187 -0.001 -0.0069 -2.5533
1770121894.1585 0.188 -0.001 -0.0081 -2.5533
1770121894.1630 0.190 -0.001 -0.0081 -2.5533
1770121894.1684 0.191 -0.001 -0.0069 -2.5533
1770121894.1739 0.192 -0.001 -0.0081 -2.5532
1770121894.1782 0.193 -0.001 -0.0081 -2.5531
1770121894.1837 0.195 -0.001 -0.0069 -2.5531
1770121894.1891 0.196 -0.001 -0.0069 -2.5531
1770121894.1935 0.197 -0.001 -0.0081 -2.5531
1770121894.1991 0.198 -0.001 -0.0081 -2.5530
1770121894.2034 0.200 -0.001 -0.0069 -2.5530
1770121894.2089 0.201 -0.001 -0.0081 -2.5530
1770121894.2132 0.202 -0.001 -0.0081 -2.5529
1770121894.2186 0.203 -0.001 -0.0069 -2.5530
1770121894.2241 0.205 -0.001 -0.0069 -2.5529
1770121894.2284 0.206 -0.001 -0.0081 -2.5529
1770121894.2339 0.207 -0.001 -0.0081 -2.5529
1770121894.2383 0.208 -0.001 -0.0069 -2.5529
1770121894.2438 0.210 -0.001 -0.0081 -2.5529
1770121894.2483 0.211 -0.001 -0.0081 -2.5529
1770121894.2535 0.212 -0.001 -0.0069 -2.5529
1770121894.2591 0.213 -0.001 -0.0069 -2.5529
1770121894.2634 0.215 -0.001 -0.0081 -2.5529
1770121894.2689 0.216 -0.001 -0.0081 -2.5529
1770121894.2733 0.217 -0.001 -0.0069 -2.5529
1770121894.2787 0.218 -0.001 -0.0081 -2.5529
1770121894.2841 0.220 -0.001 -0.0081 -2.5529
1770121894.2884 0.221 -0.001 -0.0069 -2.5529
1770121894.2939 0.222 -0.001 -0.0081 -2.5529
1770121894.2983 0.223 -0.001 -0.0081 -2.5529
1770121894.3038 0.225 -0.001 -0.0069 -2.5529
1770121894.3091 0.226 -0.001 -0.0069 -2.5529
1770121894.3135 0.227 -0.001 -0.0081 -2.5529
1770121894.3191 0.228 -0.001 -0.0081 -2.5529
1770121894.3233 0.230 -0.001 -0.0069 -2.5529
1770121894.3288 0.231 -0.001 -0.0069 -2.5529
1770121894.3341 0.232 -0.001 -0.0081 -2.5529
1770121894.3385 0.233 -0.001 -0.0081 -2.5529
1770121894.3440 0.235 -0.001 -0.0069 -2.5529
1770121894.3484 0.236 -0.001 -0.0081 -2.5529
1770121894.3538 0.237 -0.001 -0.0081 -2.5528
1770121894.3582 0.238 -0.001 -0.0069 -2.5528
1770121894.3636 0.240 -0.001 -0.0081 -2.5528
1770121894.3691 0.241 -0.001 -0.0081 -2.5528
1770121894.3734 0.242 -0.001 -0.0081 -2.5528
1770121894.3789 0.243 -0.001 -0.0081 -2.5528
1770121894.3832 0.245 -0.001 -0.0081 -2.5528
1770121894.3887 0.246 -0.001 -0.0081 -2.5528
1770121894.3941 0.247 -0.001 -0.0069 -2.5528
1770121894.3985 0.248 -0.001 -0.0081 -2.5528
1770121894.4039 0.250 -0.001 -0.0081 -2.5528
1770121894.4083 0.251 -0.001 -0.0081 -2.5528
1770121894.4137 0.252 -0.001 -0.0069 -2.5528
1770121894.4192 0.253 -0.001 -0.0081 -2.5529
1770121894.4235 0.255 -0.001 -0.0081 -2.5529
1770121894.4289 0.256 -0.001 -0.0069 -2.5529
1770121894.4333 0.257 -0.001 -0.0081 -2.5529
1770121894.4388 0.258 -0.001 -0.0081 -2.5529
1770121894.4442 0.260 -0.001 -0.0081 -2.5529
1770121894.4488 0.261 -0.001 -0.0069 -2.5529
1770121894.4541 0.262 -0.001 -0.0081 -2.5529
1770121894.4585 0.263 -0.001 -0.0081 -2.5529
1770121894.4640 0.265 -0.001 -0.0069 -2.5529
1770121894.4684 0.266 -0.001 -0.0081 -2.5530
1770121894.4739 0.267 -0.001 -0.0081 -2.5530
1770121894.4783 0.269 -0.001 -0.0081 -2.5530
1770121894.4836 0.270 -0.001 -0.0081 -2.5530
1770121894.4890 0.271 -0.001 -0.0081 -2.5530
1770121894.4934 0.273 -0.001 -0.0081 -2.5530
1770121894.4989 0.274 -0.001 -0.0081 -2.5530
1770121894.5032 0.275 -0.001 -0.0081 -2.5530
1770121894.5087 0.276 -0.001 -0.0081 -2.5529
1770121894.5140 0.278 -0.001 -0.0081 -2.5530
1770121894.5184 0.278 -0.001 -0.0081 -2.5529
1770121894.5238 0.280 -0.001 -0.0081 -2.5529
1770121894.5292 0.281 -0.001 -0.0081 -2.5529
1770121894.5336 0.282 -0.001 -0.0081 -2.5530
1770121894.5391 0.283 -0.001 -0.0081 -2.5529
1770121894.5437 0.285 -0.002 -0.0081 -2.5529
1770121894.5490 0.286 -0.002 -0.0081 -2.5530
1770121894.5534 0.287 -0.002 -0.0081 -2.5529
1770121894.5589 0.288 -0.002 -0.0081 -2.5529
1770121894.5642 0.290 -0.002 -0.0081 -2.5529
1770121894.5688 0.291 -0.002 -0.0069 -2.5529
1770121894.5741 0.292 -0.002 -0.0081 -2.5530
1770121894.5785 0.294 -0.002 -0.0081 -2.5529
1770121894.5839 0.295 -0.002 -0.0093 -2.5529
1770121894.5893 0.296 -0.002 -0.0081 -2.5530
1770121894.5938 0.298 -0.002 -0.0081 -2.5529
1770121894.5992 0.299 -0.002 -0.0081 -2.5530
1770121894.6036 0.300 -0.002 -0.0081 -2.5530
1770121894.6090 0.301 -0.002 -0.0081 -2.5530
1770121894.6143 0.303 -0.002 -0.0081 -2.5530
1770121894.6188 0.304 -0.002 -0.0081 -2.5529
1770121894.6242 0.305 -0.002 -0.0081 -2.5529
1770121894.6286 0.306 -0.002 -0.0081 -2.5529
1770121894.6340 0.308 -0.002 -0.0081 -2.5529
1770121894.6384 0.309 -0.002 -0.0069 -2.5529
1770121894.6440 0.310 -0.002 -0.0081 -2.5529
1770121894.6503 0.311 -0.002 -0.0081 -2.5529
1770121894.6538 0.313 -0.002 -0.0069 -2.5529
1770121894.6592 0.313 -0.002 -0.0081 -2.5529
1770121894.6637 0.315 -0.002 -0.0081 -2.5529
1770121894.6692 0.316 -0.002 -0.0081 -2.5529
1770121894.6736 0.317 -0.002 -0.0081 -2.5528
1770121894.6792 0.319 -0.002 -0.0081 -2.5529
1770121894.6835 0.320 -0.002 -0.0081 -2.5528
1770121894.6891 0.321 -0.002 -0.0081 -2.5528
1770121894.6935 0.323 -0.002 -0.0081 -2.5528
1770121894.6991 0.324 -0.002 -0.0081 -2.5528
1770121894.7035 0.325 -0.002 -0.0069 -2.5528
1770121894.7089 0.326 -0.002 -0.0069 -2.5527
1770121894.7134 0.328 -0.002 -0.0081 -2.5528
1770121894.7189 0.329 -0.002 -0.0081 -2.5528
1770121894.7243 0.330 -0.002 -0.0069 -2.5528
1770121894.7288 0.331 -0.002 -0.0081 -2.5528
1770121894.7341 0.333 -0.002 -0.0081 -2.5528
1770121894.7387 0.334 -0.002 -0.0081 -2.5528
1770121894.7442 0.335 -0.002 -0.0069 -2.5528
1770121894.7487 0.336 -0.002 -0.0081 -2.5528
1770121894.7541 0.338 -0.002 -0.0081 -2.5528
1770121894.7586 0.339 -0.002 -0.0069 -2.5528
1770121894.7641 0.340 -0.002 -0.0081 -2.5529
1770121894.7685 0.341 -0.002 -0.0081 -2.5528
1770121894.7740 0.343 -0.002 -0.0069 -2.5528
1770121894.7784 0.344 -0.002 -0.0069 -2.5529
1770121894.7839 0.345 -0.002 -0.0081 -2.5528
1770121894.7894 0.346 -0.002 -0.0081 -2.5528
1770121894.7938 0.348 -0.002 -0.0069 -2.5529
1770121894.7995 0.349 -0.002 -0.0081 -2.5529
1770121894.8038 0.350 -0.002 -0.0081 -2.5529
1770121894.8094 0.352 -0.002 -0.0069 -2.5528
1770121894.8137 0.353 -0.002 -0.0069 -2.5529
1770121894.8192 0.354 -0.002 -0.0081 -2.5529
1770121894.8237 0.355 -0.002 -0.0081 -2.5528
1770121894.8291 0.357 -0.002 -0.0069 -2.5529
1770121894.8346 0.358 -0.002 -0.0081 -2.5528
1770121894.8391 0.359 -0.002 -0.0081 -2.5528
1770121894.8446 0.360 -0.002 -0.0069 -2.5528
1770121894.8491 0.362 -0.002 -0.0069 -2.5528
1770121894.8546 0.363 -0.002 -0.0081 -2.5528
1770121894.8600 0.364 -0.002 -0.0081 -2.5528
1770121894.8644 0.365 -0.002 -0.0081 -2.5528
1770121894.8699 0.367 -0.002 -0.0081 -2.5528
1770121894.8742 0.368 -0.002 -0.0081 -2.5528
1770121894.8798 0.369 -0.002 -0.0069 -2.5528
1770121894.8841 0.370 -0.002 -0.0081 -2.5528
1770121894.8895 0.372 -0.002 -0.0081 -2.5528
1770121894.8951 0.373 -0.002 -0.0081 -2.5528
1770121894.8994 0.374 -0.002 -0.0081 -2.5528
1770121894.9049 0.375 -0.002 -0.0081 -2.5528
1770121894.9092 0.377 -0.002 -0.0069 -2.5529
1770121894.9146 0.378 -0.002 -0.0069 -2.5529
1770121894.9192 0.379 -0.002 -0.0081 -2.5529
1770121894.9245 0.380 -0.002 -0.0081 -2.5529
1770121894.9301 0.382 -0.002 -0.0081 -2.5529
1770121894.9344 0.383 -0.002 -0.0081 -2.5529
1770121894.9398 0.384 -0.002 -0.0081 -2.5529
1770121894.9443 0.385 -0.002 -0.0081 -2.5529
1770121894.9498 0.387 -0.002 -0.0069 -2.5529
1770121894.9542 0.388 -0.002 -0.0081 -2.5529
1770121894.9596 0.389 -0.002 -0.0081 -2.5528
1770121894.9651 0.390 -0.002 -0.0081 -2.5528
1770121894.9695 0.392 -0.002 -0.0081 -2.5528
1770121894.9749 0.393 -0.002 -0.0081 -2.5528
1770121894.9793 0.394 -0.002 -0.0069 -2.5529
1770121894.9847 0.395 -0.002 -0.0069 -2.5528
1770121894.9891 0.397 -0.002 -0.0081 -2.5528
1770121894.9946 0.398 -0.002 -0.0081 -2.5528
1770121895.0001 0.399 -0.002 -0.0081 -2.5528
1770121895.0045 0.400 -0.002 -0.0081 -2.5528
1770121895.0099 0.402 -0.002 -0.0081 -2.5527
1770121895.0143 0.403 -0.002 -0.0069 -2.5526
1770121895.0197 0.404 -0.002 -0.0081 -2.5524
1770121895.0242 0.405 -0.002 -0.0069 -2.5530
1770121895.0296 0.407 -0.002 -0.0058 -2.5517
1770121895.0350 0.407 -0.002 -0.0058 -2.5513
1770121895.0395 0.409 -0.002 -0.0035 -2.5511
1770121895.0449 0.410 -0.002 -0.0023 -2.5505
1770121895.0496 0.411 -0.002 -0.0012 -2.5507
1770121895.0550 0.412 -0.002 -0.0012 -2.5506
1770121895.0595 0.413 -0.002 -0.0000 -2.5505
1770121895.0649 0.414 -0.002 -0.0000 -2.5506
1770121895.0692 0.416 -0.002 -0.0000 -2.5504
1770121895.0747 0.417 -0.002 0.0012 -2.5506
1770121895.0802 0.418 -0.002 0.0012 -2.5505
1770121895.0845 0.419 -0.002 0.0012 -2.5506
1770121895.0899 0.421 -0.002 0.0023 -2.5505
1770121895.0944 0.422 -0.002 0.0023 -2.5504
1770121895.0998 0.423 -0.002 0.0023 -2.5506
1770121895.1051 0.424 -0.002 0.0023 -2.5506
1770121895.1096 0.426 -0.002 0.0023 -2.5504
1770121895.1149 0.427 -0.002 0.0012 -2.5505
1770121895.1194 0.428 -0.002 0.0023 -2.5506
1770121895.1248 0.429 -0.002 0.0023 -2.5505
1770121895.1301 0.430 -0.002 0.0012 -2.5505
1770121895.1346 0.432 -0.002 0.0012 -2.5505
1770121895.1399 0.433 -0.002 0.0012 -2.5506
1770121895.1444 0.434 -0.002 0.0012 -2.5505
1770121895.1498 0.436 -0.002 -0.0012 -2.5505
1770121895.1551 0.437 -0.002 -0.0012 -2.5505
1770121895.1596 0.438 -0.002 -0.0012 -2.5504
1770121895.1649 0.439 -0.002 -0.0023 -2.5504
1770121895.1695 0.441 -0.002 -0.0023 -2.5505
1770121895.1748 0.442 -0.002 -0.0023 -2.5504
1770121895.1802 0.444 -0.002 -0.0023 -2.5504
1770121895.1846 0.445 -0.002 -0.0035 -2.5505
1770121895.1899 0.446 -0.002 -0.0035 -2.5505
1770121895.1945 0.447 -0.002 -0.0035 -2.5505
1770121895.1999 0.449 -0.002 -0.0035 -2.5505
1770121895.2043 0.450 -0.002 -0.0046 -2.5505
1770121895.2097 0.451 -0.002 -0.0046 -2.5504
1770121895.2150 0.452 -0.002 -0.0046 -2.5505
1770121895.2195 0.454 -0.002 -0.0058 -2.5505
1770121895.2249 0.455 -0.003 -0.0058 -2.5505
1770121895.2293 0.457 -0.003 -0.0058 -2.5505
1770121895.2347 0.457 -0.003 -0.0058 -2.5505
1770121895.2401 0.459 -0.003 -0.0058 -2.5505
1770121895.2446 0.460 -0.003 -0.0058 -2.5505
1770121895.2500 0.461 -0.003 -0.0069 -2.5505
1770121895.2546 0.463 -0.003 -0.0069 -2.5506
1770121895.2600 0.464 -0.003 -0.0058 -2.5505
1770121895.2644 0.465 -0.003 -0.0058 -2.5505
1770121895.2698 0.467 -0.003 -0.0069 -2.5505
1770121895.2752 0.468 -0.003 -0.0069 -2.5505
1770121895.2796 0.469 -0.003 -0.0069 -2.5506
1770121895.2849 0.470 -0.003 -0.0069 -2.5505
1770121895.2894 0.472 -0.003 -0.0069 -2.5505
1770121895.2948 0.473 -0.003 -0.0069 -2.5505
1770121895.3002 0.474 -0.003 -0.0081 -2.5506
1770121895.3046 0.475 -0.003 -0.0069 -2.5505
1770121895.3099 0.477 -0.003 -0.0069 -2.5506
1770121895.3143 0.478 -0.003 -0.0069 -2.5506
1770121895.3198 0.479 -0.003 -0.0081 -2.5506
1770121895.3252 0.480 -0.003 -0.0081 -2.5506
1770121895.3296 0.482 -0.003 -0.0069 -2.5506
1770121895.3350 0.483 -0.003 -0.0081 -2.5506
1770121895.3404 0.484 -0.003 -0.0081 -2.5507
